account_name,account_id,follower_username,follower_id,follower_location,follower_created_at
selecaoportugal,2550023839,j_r_272,1545026106046255106,,2022-07-07 12:45:16+00:00
selecaoportugal,2550023839,salvationmaafa,1483480577076568068,,2022-01-18 16:45:28+00:00
selecaoportugal,2550023839,JooAraj61248657,1545135424187817984,,2022-07-07 19:59:39+00:00
selecaoportugal,2550023839,stevealfred45,1200502877355159554,Tanzania,2019-11-29 19:53:09+00:00
selecaoportugal,2550023839,Daniel21915677,1452757237940858895,"England, United Kingdom",2021-10-25 22:01:39+00:00
selecaoportugal,2550023839,ali_kdry,1286692613844860930,"El Behera, Egypt",2020-07-24 16:00:13+00:00
selecaoportugal,2550023839,RAMON765659551,1472386305560653825,,2021-12-19 02:01:05+00:00
selecaoportugal,2550023839,1904freitas,1545130921950695424,,2022-07-07 19:41:48+00:00
selecaoportugal,2550023839,fr62115848,1545131084521914370,,2022-07-07 19:42:24+00:00
selecaoportugal,2550023839,IBatkata,1478007861322125320,,2022-01-03 14:19:03+00:00
selecaoportugal,2550023839,Toms2lopes12,1545130161913356290,,2022-07-07 19:39:22+00:00
selecaoportugal,2550023839,CarlosM49322231,1545130150102274048,,2022-07-07 19:39:00+00:00
selecaoportugal,2550023839,LesterH2004,1541560469319827456,,2022-06-27 23:14:08+00:00
selecaoportugal,2550023839,Olashile_Elijah,3366833602,"Lagos, Nigeria",2015-07-08 23:42:36+00:00
selecaoportugal,2550023839,rhodaagori1,1386787459044941826,,2021-04-26 21:01:39+00:00
selecaoportugal,2550023839,stonali8,1314690268352983041,,2020-10-09 22:12:56+00:00
selecaoportugal,2550023839,KshetryPriya,1253657223080771590,Somewhere under the sky,2020-04-24 12:09:25+00:00
selecaoportugal,2550023839,Bukas1273,1536342777235001345,,2022-06-13 13:41:55+00:00
selecaoportugal,2550023839,cris_avila18,1545125445808660480,ilha Terceira,2022-07-07 19:19:59+00:00
selecaoportugal,2550023839,luiscslour3iro,889906123507150848,,2017-07-25 17:52:08+00:00
selecaoportugal,2550023839,longmancouture,226933111,Lagos,2010-12-15 13:19:48+00:00
selecaoportugal,2550023839,PrinceMDennis41,1545082458772848641,,2022-07-07 16:29:43+00:00
selecaoportugal,2550023839,20godinhopt08,1545124137462530049,,2022-07-07 19:14:52+00:00
selecaoportugal,2550023839,acrom_8900,1545123360518115332,,2022-07-07 19:13:16+00:00
selecaoportugal,2550023839,martimbgf,1545121263718469632,,2022-07-07 19:03:27+00:00
selecaoportugal,2550023839,Adekunle_of_ek,1514202175509086217,,2022-04-13 11:21:56+00:00
selecaoportugal,2550023839,itschicax,1545122535066542087,,2022-07-07 19:08:22+00:00
selecaoportugal,2550023839,BlackHawkMaks7,1544332712403767296,,2022-07-05 14:50:34+00:00
selecaoportugal,2550023839,erasmod981,1457670593348784137,,2021-11-08 11:26:16+00:00
selecaoportugal,2550023839,MayangLuna2,1540749805537742849,,2022-06-25 17:33:14+00:00
selecaoportugal,2550023839,AsandeMdletshe2,1542197608764084224,,2022-06-29 17:28:31+00:00
selecaoportugal,2550023839,Emmanue66126582,1479099314974584837,,2022-01-06 14:36:02+00:00
selecaoportugal,2550023839,EricaPinho15,1545121003617107968,,2022-07-07 19:02:22+00:00
selecaoportugal,2550023839,FeguensJoseph9,1544898621413507072,,2022-07-07 04:19:13+00:00
selecaoportugal,2550023839,Mustafe64209466,1543737342317535236,,2022-07-03 23:24:41+00:00
selecaoportugal,2550023839,MDhaaniyal,1535303786251812864,,2022-06-10 16:52:38+00:00
selecaoportugal,2550023839,JONYx2008,1545116042426458112,,2022-07-07 18:42:48+00:00
selecaoportugal,2550023839,dXvXr30,1543733896529018880,,2022-07-03 23:10:28+00:00
selecaoportugal,2550023839,kerfalafofana11,1543904388586287109,,2022-07-04 10:27:59+00:00
selecaoportugal,2550023839,dhgzsjngkb,1527589507494723584,,2022-05-20 09:58:47+00:00
